AccumulatedPower,Cadence,Distance,FractionalCadence,HeartRate,LeftRightBalance,Power,Temperature,Timestamp
76544,100,0,0,178,181,305,17,1013616327
76882,96,0,0,178,175,338,17,1013616328
77223,94,0,0,178,178,341,17,1013616329
77537,96,0,0,178,177,314,17,1013616330
77859,96,0,0,178,177,322,17,1013616331
78153,96,0,0,179,177,294,17,1013616332
78456,95,0,0,179,177,303,17,1013616333
78726,94,0,0,179,174,270,17,1013616334
79019,93,0,0,179,177,293,17,1013616335
79328,93,0,0,178,176,309,17,1013616336
79656,93,0,0,179,174,328,17,1013616337
79926,94,0,0,178,177,270,17,1013616338
80165,94,0,0,177,179,239,17,1013616339
80447,92,0,0,176,172,282,17,1013616340
80688,91,0,0,175,178,241,17,1013616341
80953,90,0,0,175,178,265,17,1013616342
81243,90,0,0,175,177,290,17,1013616343
81509,90,0,0,175,181,266,17,1013616344
81771,90,0,0,175,180,262,17,1013616345
82041,90,0,0,175,178,270,17,1013616346
82276,90,0,0,175,175,235,17,1013616347
82542,94,0,0,174,178,266,17,1013616348
82755,94,0,0,175,178,213,17,1013616349
83001,93,0,0,175,171,246,17,1013616350
83154,93,0,0,174,176,153,17,1013616351
83381,90,0,0,175,172,227,17,1013616352
83570,89,0,0,175,179,189,17,1013616353
83793,88,0,0,175,179,223,17,1013616354
83995,88,0,0,175,176,202,17,1013616355
84221,88,0,0,176,178,226,17,1013616356
84427,88,0,0,175,177,206,17,1013616357
84628,88,0,0,174,185,201,17,1013616358
84892,90,0,0,174,178,264,17,1013616359
85153,91,0,0,174,177,261,17,1013616360
85381,92,0,0,175,183,228,17,1013616361
85655,93,0,0,174,179,274,17,1013616362
85963,96,0,0,175,180,308,17,1013616363
86322,98,0,0,176,180,359,17,1013616364
86633,96,0,0,175,177,311,17,1013616365
86920,95,0,0,175,176,287,17,1013616366
87275,91,0,0,175,178,355,17,1013616367
87612,91,0,0,175,178,337,17,1013616368
87859,91,0,0,175,185,247,17,1013616369
88100,89,0,0,175,176,241,17,1013616370
88265,87,0,0,175,168,165,17,1013616371
88408,87,0,0,175,172,143,17,1013616372
88626,88,0,0,175,181,218,17,1013616373
88798,87,0,0,176,177,172,17,1013616374
88969,95,0,0,176,179,171,17,1013616375
89114,94,0,0,176,170,145,17,1013616376
89294,92,0,0,176,176,180,17,1013616377
89473,90,0,0,176,181,179,17,1013616378
89697,90,0,0,176,183,224,17,1013616379
89926,91,0,0,176,178,229,17,1013616380
90163,93,0,0,176,183,237,17,1013616381
90419,94,0,0,175,181,256,17,1013616382
90639,92,0,0,174,184,220,17,1013616383
90882,88,0,0,173,185,243,17,1013616384
91145,89,0,0,171,178,263,17,1013616385
91468,92,0,0,171,180,323,17,1013616386
91795,96,0,0,170,180,327,17,1013616387
92135,93,0,0,170,177,340,17,1013616388
92485,94,0,0,169,176,350,17,1013616389
92771,95,0,0,169,174,286,17,1013616390
93061,95,0,0,168,176,290,17,1013616391
93306,94,0,0,168,178,245,17,1013616392
93561,90,0,0,169,182,255,17,1013616393
93833,89,0,0,168,181,272,17,1013616394
94090,89,0,0,168,181,257,17,1013616395
94257,89,0,0,169,178,167,17,1013616396
94435,87,0,0,169,181,178,17,1013616397
94640,88,0,0,169,171,205,17,1013616398
94823,87,0,0,169,177,183,17,1013616399
95010,87,0,0,168,177,187,17,1013616400
95167,91,0,0,169,176,157,17,1013616401
95420,87,0,0,168,174,253,17,1013616402
95677,87,0,0,168,177,257,17,1013616403
95948,89,0,0,167,176,271,17,1013616404
96186,91,0,0,168,178,238,17,1013616405
96451,92,0,0,168,173,265,17,1013616406
96681,93,0,0,169,177,230,17,1013616407
96940,92,0,0,169,178,259,17,1013616408
97176,93,0,0,169,176,236,17,1013616409
97458,93,0,0,167,176,282,17,1013616410
97715,94,0,0,167,176,257,17,1013616411
97971,94,0,0,168,176,256,17,1013616412
98221,95,0,0,169,177,250,17,1013616413
98490,94,0,0,168,178,269,17,1013616414
98748,95,0,0,168,175,258,17,1013616415
98990,94,0,0,167,178,242,17,1013616416
99224,94,0,0,168,179,234,17,1013616417
99475,93,0,0,167,178,251,17,1013616418
99712,93,0,0,167,176,237,17,1013616419
99935,92,0,0,167,181,223,17,1013616420
100130,91,0,0,167,177,195,17,1013616421
100348,90,0,0,166,184,218,17,1013616422
100572,90,0,0,166,176,224,17,1013616423
100809,90,0,0,166,183,237,17,1013616424
101094,91,0,0,165,180,285,17,1013616425
101379,93,0,0,165,180,285,17,1013616426
101669,94,0,0,166,178,290,17,1013616427
101977,92,0,0,167,179,308,17,1013616428
102256,90,0,0,167,171,279,17,1013616429
102507,89,0,0,167,171,251,17,1013616430
102766,95,0,0,167,176,259,17,1013616431
102944,95,0,0,168,173,178,17,1013616432
103224,87,0,0,169,178,280,17,1013616433
103440,90,0,0,169,179,216,17,1013616434
103663,89,0,0,170,178,223,17,1013616435
103858,89,0,0,171,178,195,17,1013616436
104081,88,0,0,171,178,223,17,1013616437
104409,88,0,0,171,182,328,17,1013616438
104719,88,0,0,171,178,310,17,1013616439
105010,90,0,0,171,180,291,17,1013616440
105381,94,0,0,170,178,371,17,1013616441
105779,93,0,0,170,179,398,17,1013616442
106158,93,0,0,170,180,379,17,1013616443
106556,94,0,0,171,179,398,17,1013616444
106953,95,0,0,171,179,397,17,1013616445
107345,97,0,0,172,178,392,17,1013616446
107701,97,0,0,173,179,356,17,1013616447
108053,96,0,0,173,175,352,17,1013616448
108560,96,0,0,173,179,507,17,1013616449
109120,100,0,0,175,175,560,17,1013616450
109685,97,0,0,174,175,565,17,1013616451
110156,99,0,0,175,175,471,17,1013616452
110678,95,0,0,177,175,522,17,1013616453
111231,95,0,0,178,176,553,17,1013616454
111729,96,0,0,178,178,498,17,1013616455
112257,94,0,0,179,180,528,17,1013616456
112785,94,0,0,180,178,528,17,1013616457
113210,96,0,0,181,176,425,17,1013616458
113570,97,0,0,182,178,360,17,1013616459
113896,96,0,0,182,178,326,17,1013616460
114298,94,0,0,183,178,402,17,1013616461
114691,93,0,0,183,180,393,17,1013616462
115091,92,0,0,183,179,400,17,1013616463
115548,93,0,0,183,181,457,17,1013616464
115972,93,0,0,183,170,424,17,1013616465
116420,100,0,0,183,174,448,17,1013616466
116915,94,0,0,184,178,495,17,1013616467
117368,95,0,0,185,179,453,17,1013616468
117759,95,0,0,185,180,391,17,1013616469
118186,93,0,0,185,179,427,17,1013616470
118652,93,0,0,185,178,466,17,1013616471
119074,94,0,0,186,176,422,17,1013616472
119517,95,0,0,186,174,443,17,1013616473
119944,94,0,0,185,178,427,17,1013616474
120380,95,0,0,185,179,436,17,1013616475
120817,95,0,0,185,178,437,17,1013616476
121253,96,0,0,185,179,436,17,1013616477
121690,97,0,0,186,178,437,17,1013616478
122097,97,0,0,185,178,407,17,1013616479
122481,96,0,0,185,176,384,17,1013616480
122877,95,0,0,185,174,396,17,1013616481
123255,95,0,0,185,178,378,17,1013616482
123580,96,0,0,185,174,325,17,1013616483
123930,98,0,0,185,176,350,17,1013616484
124322,99,0,0,185,175,392,17,1013616485
124696,96,0,0,184,180,374,17,1013616486
125089,93,0,0,185,178,393,17,1013616487
125488,95,0,0,185,179,399,17,1013616488
125885,95,0,0,186,177,397,17,1013616489
126273,96,0,0,185,186,388,17,1013616490
126724,91,0,0,187,179,451,17,1013616491
127151,94,0,0,186,178,427,17,1013616492
127605,95,0,0,186,175,454,17,1013616493
128068,96,0,0,186,175,463,17,1013616494
128538,98,0,0,186,174,470,17,1013616495
128972,99,0,0,186,178,434,17,1013616496
129402,98,0,0,186,180,430,17,1013616497
129851,97,0,0,186,178,449,17,1013616498
130310,96,0,0,186,180,459,17,1013616499
130793,90,0,0,187,177,483,17,1013616500
131365,89,0,0,187,181,572,17,1013616501
131998,88,0,0,187,174,633,17,1013616502
132406,86,0,0,187,176,408,17,1013616503
132887,89,0,0,187,178,481,17,1013616504
133264,89,0,0,187,174,377,17,1013616505
133692,95,0,0,188,176,428,17,1013616506
134039,95,0,0,188,177,347,17,1013616507
134379,100,0,0,189,174,340,17,1013616508
134759,96,0,0,189,184,380,17,1013616509
135153,95,0,0,190,178,394,17,1013616510
135550,94,0,0,190,177,397,17,1013616511
135942,93,0,0,190,179,392,17,1013616512
136345,93,0,0,191,175,403,17,1013616513
136750,93,0,0,191,176,405,17,1013616514
137170,92,0,0,191,182,420,17,1013616515
137588,92,0,0,190,177,418,17,1013616516
138071,93,0,0,191,180,483,17,1013616517
138529,94,0,0,191,176,458,17,1013616518
138956,94,0,0,191,176,427,17,1013616519
139409,93,0,0,191,179,453,17,1013616520
139844,92,0,0,192,178,435,17,1013616521
140254,91,0,0,192,178,410,17,1013616522
140604,91,0,0,192,178,350,17,1013616523
140957,90,0,0,195,180,353,17,1013616524
141309,94,0,0,195,178,352,17,1013616525
141699,92,0,0,192,176,390,17,1013616526
142072,92,0,0,192,178,373,17,1013616527
142437,94,0,0,191,180,365,17,1013616528
142818,99,0,0,191,176,381,17,1013616529
143205,99,0,0,191,178,387,17,1013616530
143640,92,0,0,191,175,435,17,1013616531
144037,94,0,0,191,176,397,17,1013616532
144429,94,0,0,190,184,392,17,1013616533
144882,89,0,0,191,175,453,17,1013616534
145229,94,0,0,191,176,347,17,1013616535
145638,94,0,0,191,182,409,17,1013616536
145993,92,0,0,190,178,355,17,1013616537
146341,93,0,0,191,178,348,17,1013616538
146700,93,0,0,191,176,359,17,1013616539
147054,92,0,0,192,183,354,17,1013616540
147416,89,0,0,192,175,362,17,1013616541
147739,89,0,0,192,180,323,17,1013616542
148059,90,0,0,191,177,320,17,1013616543
148344,90,0,0,192,178,285,17,1013616544
148620,89,0,0,191,177,276,17,1013616545
148829,89,0,0,191,176,209,17,1013616546
149111,90,0,0,192,181,282,17,1013616547
149284,93,0,0,191,176,173,17,1013616548
149474,91,0,0,191,179,190,17,1013616549
149675,84,0,0,190,177,201,17,1013616550
149927,86,0,0,190,182,252,17,1013616551
150174,90,0,0,189,176,247,17,1013616552
150416,91,0,0,190,172,242,17,1013616553
150632,91,0,0,189,184,216,17,1013616554
150870,90,0,0,189,180,238,17,1013616555
151103,91,0,0,189,177,233,17,1013616556
151365,90,0,0,188,175,262,17,1013616557
151641,87,0,0,188,183,276,17,1013616558
151916,85,0,0,189,178,275,17,1013616559
152132,86,0,0,188,176,216,17,1013616560
152398,90,0,0,187,183,266,17,1013616561
152777,95,0,0,187,173,379,17,1013616562
153346,99,0,0,187,177,569,17,1013616563
153829,109,0,0,188,175,483,17,1013616564
154272,101,0,0,187,176,443,17,1013616565
154693,97,0,0,187,177,421,17,1013616566
155126,97,0,0,187,179,433,17,1013616567
155535,96,0,0,188,177,409,17,1013616568
155912,95,0,0,188,177,377,17,1013616569
156147,94,0,0,188,169,235,17,1013616570
156410,90,0,0,188,178,263,17,1013616571
156651,88,0,0,189,172,241,17,1013616572
